Disease,Num
D013964,19
D013967,3
D003103,1
D010392,1
D003882,33
D017565,8
D012516,138
D012514,29
D017563,10
D012162,18
D000306,15
D002561,1
D001661,13
D002446,10
D010300,49
D003409,1
D006223,2
D006222,1
D000236,1
D005879,1
D000544,81
D006349,2
D009134,4
D020258,2
D015464,69
D008659,1
D002690,1
D000783,49
D000789,2
D004806,13
D010013,2
D010019,1
D011014,2
D001989,4
D001321,31
D008193,1
D001249,50
D055728,2
D005621,6
D016491,13
D005234,9
D014605,1
D014607,1
D054990,11
D009220,1
D000437,1
D009223,1
D014594,1
D002289,23
D001932,18
D001022,4
D012468,32
D008268,7
D001024,37
D012466,1
D008103,41
D005757,1
D016649,3
D008108,1
D016640,18
D018335,1
D002822,24
D002821,1
D050500,20
D007154,14
D003929,1
D003928,1
D000755,6
D013920,4
D003924,84
D013922,2
D003920,51
D003922,16
D006526,73
D012004,21
D008175,106
D008171,2
D010518,16
D018805,1
D002311,11
D002312,66
D010510,10
D017359,3
D058186,20
D009072,4
D013736,7
D010190,49
D052556,3
D007873,1
D007972,11
D006394,3
D002006,2
D008258,8
D014397,38
D002779,1
D018979,10
D002386,4
D001172,48
D012829,2
D009101,56
D017827,7
D011655,1
D053040,1
D011658,24
D008228,13
D008224,9
D008223,73
D005910,168
D019693,2
D009103,63
D006976,32
D018278,3
D051359,11
D050197,81
D004715,74
D012595,19
D016779,9
D001014,6
D009404,9
D014376,14
D009400,6
D008133,1
D015179,71
D001714,12
D006453,1
D002583,98
D013771,1
D007822,22
D000848,2
D001656,8
D001650,11
D003876,6
D012174,6
D012175,65
D006111,10
D018281,32
D015673,1
D007383,1
D013313,3
D006331,17
D006330,1
D015470,115
D006627,17
D015473,22
D011471,130
D017096,9
D010003,42
D007947,2
D007945,21
D002051,28
D001471,22
D008180,61
D008181,15
D009214,1
D009216,1
D006528,308
D013494,1
D015212,30
D018239,1
D006521,4
D057174,5
D009196,3
D009190,40
D016410,5
D043183,4
D016553,11
D011271,10
D016736,2
D004062,4
D007006,1
D009442,3
D009447,85
D004660,2
D005923,13
D005922,6
D005921,11
D019189,1
D000740,3
D000741,8
D003424,1
D010282,5
D006973,53
D001168,4
D001162,12
D009503,2
D054218,23
D019337,31
D004938,57
D010911,45
D007918,2
D010033,1
D010523,3
D013683,1
D004314,11
D017544,14
D011236,3
D017545,11
D020388,49
D029424,32
D002544,9
D002545,15
D002546,16
D020918,2
D003930,17
D011085,23
D020181,1
D011087,16
D012859,16
D012480,2
D002607,1
D008579,10
D005706,22
D001943,60
D007690,2
D011660,1
D019595,1
D012214,5
D045169,3
D046152,13
D002280,23
D006519,12
D018268,58
D018269,23
D006967,11
D006689,34
D054198,58
D001165,1
D001008,9
D002973,1
D017241,1
D001005,1
D045823,1
D014062,7
D057180,1
D013945,7
D020345,6
D003865,3
D003866,5
D013167,7
D001528,9
D008052,5
D034381,1
D006106,6
D044584,2
D007251,25
D009290,5
D007889,25
D015440,1
D011565,44
D007951,20
D056735,2
D004827,29
D014846,1
D005600,4
D005354,3
D005356,6
D008105,26
D009202,29
D009203,55
D057765,25
D005199,1
D034721,3
D009837,1
D008527,71
D013789,1
D016403,42
D001859,2
D053713,17
D019970,4
D014657,7
D015535,3
D016584,5
D005776,1
D063647,4
D006952,2
D006816,19
D011625,20
D017728,9
D001766,1
D004679,5
D017726,1
D007153,1
D016751,3
D001171,2
D033461,1
D004415,1
D003317,2
D008010,7
D019578,1
D003093,29
D003092,7
D003704,6
D007511,16
D003123,1
D010020,1
D015175,22
D010022,2
D010024,17
D009157,14
D055959,11
D020275,2
D017573,1
D009765,63
D012509,15
D021441,70
D002294,26
D003550,17
D006073,14
D013584,10
D028361,8
D023903,1
D018856,4
D013274,107
D009080,4
D001254,2
D007680,33
D003925,5
D024821,20
D013921,2
D000690,13
D010538,6
D008209,2
D002295,2
D018357,15
D002292,126
D018358,4
D013927,4
D006509,66
D015270,1
D012878,8
D018761,1
D012871,1
D007676,24
D008113,61
D004694,4
D006929,1
D014355,1
D019283,8
D016780,1
D002528,2
D004461,5
D001927,20
D014123,13
D004941,3
D016393,31
D016399,27
D002532,3
D003324,55
D010051,65
D015452,7
D007246,10
D015451,79
D007248,5
D010505,7
D014820,3
D008607,1
D007562,1
D017449,2
D012128,6
D001749,56
D012559,48
D017887,3
D012554,4
D000292,9
D018197,35
D011225,77
D006548,2
D016864,1
D018442,3
D000505,7
D001847,9
D001449,4
D002813,22
D014646,1
D001281,57
D001289,4
D012778,1
D007340,1
D005901,25
D018242,2
D006943,5
D010049,7
D005909,15
D009914,1
D008545,191
D008581,1
D000163,6
D003711,3
D016889,40
D003715,8
